,0
0,ในตอนกลางวันฉันเปรียบเธอเหมือนพระจันทร์
1,อยู่ตรงนั้นไม่ว่าจะมองจากมุมไหน
2,แต่พอหลับตาเมื่อสายแล้วเธอก็หายไป
3,ดั่งไม่เคยได้มีแม้ใคร
4,อยู่ตรงนี้
5,ในบางเวลาที่แดดส่องมาเมื่อไร
6,เจ้าดวงใจฉันลอยล่องไป
7,ไม่ทันคิด
8,ฉันรู้ว่าเราไม่เหมาะและควรเท่าไร
9,แต่ฉันขอให้เธอไม่ไปจากตรงนี้
10,เต้นรำกลางเเสงสีดำ
11,ดวงอาทิตย์ร้อน
12,แดดเช้าพ้นไป
13,เหลือเพียงเเค่เงา
14,ใต้ร่มสีเทา
15,ส่วนฉันทำได้เเค่ฝัน
16,อยากเก็บเธอไว้นานนาน
17,แม้ภาพเลือนลางลมอ่อนพัดผ่าน
18,เธอสลายหายไป
19,อาจเป็นภาพทรงจำ
20,แต่แค่นี้แล้วกัน
21,แค่เพียงแสงจันทร์
22,แล้วฉันจะกอดเธอไว้
23,มือที่ได้สัมผัส
24,กลิ่นดอกไม้ที่ทัด
25,ยังจำได้เลย
26,คุ้นเคยเท่าไร
27,ราตรีนี้เมื่อไร
28,ฉันจะมอบหัวใจ
29,ให้เธอคนที่ฉันหวัง
30,อยากเก็บเธอไว้นานนาน
31,แม้ภาพเลือนลางลมอ่อนพัดผ่าน
32,เธอสลายหายไป
33,อาจเป็นภาพทรงจำ
34,แต่แค่นี้แล้วกัน
35,แค่เพียงแสงจันทร์
36,แล้วฉันจะกอดเธอไว้
37,ในตอนกลางวันฉันเปรียบเธอเหมือนพระจันทร์
38,อยู่ตรงนั้นไม่ว่าจะมองจากมุมไหน
39,แต่พอหลับตาเมื่อสายแล้วเธอก็หายไป
40,ดั่งไม่เคยได้มีเเม้ใครอยู่ตรงนี้
41,
42,สายตาที่เธอมองฉัน
43,คำพูดดีดีเหล่านั้น
44,ที่ทำเหมือนฉันเป็นคนพิเศษ
45,เข้าใจว่าคงเป็นรัก
46,ที่เธอห่วงใยอย่างนั้นเพิ่งรู้
47,วันนี้เอง
48,ว่าหลอกกันทั้งนั้น
49,ที่เธอทำไป
50,เธอไม่เคยรักกันอย่างฉันรักเธอทั้งหัวใจ
51,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
52,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
53,ถ้าไม่รักทำไมต้องทำเป็นรัก
54,บอกฉันที
55,ทำไมใจร้ายกับฉันอย่างนี้
56,หลอกกันทำไมไอ้คนไม่มี
57,หัวใจ
58,สะใจเธอแล้วใช่ไหม
59,ไอ้คนที่เธอหลอกใช้
60,มันยอมมันทำให้เธอ
61,ทุกอย่าง
62,รู้ตัวก็วันที่สาย
63,ก็ให้เธอไปหมดแล้วทั้งใจ
64,ไม่เหลือเลย
65,ก็หลอกกันทั้งนั้น
66,ที่เธอทำไป
67,เธอไม่เคยรักกันอย่างฉัน
68,รักเธอไปทั้งหัวใจ
69,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
70,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
71,ถ้าไม่รักทำไมต้องทำเป็นรัก
72,บอกฉันที
73,ทำไมใจร้ายกับฉันอย่างนี้
74,หลอกกันทำไมไอ้คนไม่มี
75,หัวใจ
76,ฮู้
77,ฮือ
78,นี่เธอได้ที่เธอต้องการหมดแล้วใช่ไหม
79,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
80,ถ้าไม่รักทำไมต้องทำเป็นรัก
81,บอกฉันที
82,ทำไมใจร้ายกับฉันอย่างนี้
83,หลอกกันทำไมไอ้คนไม่มี
84,หัวใจ
85,สะใจพอหรือยังที่เห็นฉันต้องปวดใจอย่างนี้
86,ถ้าไม่รักทำไมต้องทำเป็นรัก
87,บอกฉันที
88,ทำไมใจร้ายกับฉันอย่างนี้
89,หลอกกันทำไมไอ้คนไม่มี
90,หัวใจ
91,
92,อื้อ
93,ฮึ อา
94,จำได้ไหมว่าเรามีนัดกัน
95,อยากคุยเรื่องนี้มันสำคัญ
96,วันที่เจ็ดเดือนสี่
97,เกือบหกเดือนตั้งแต่เราคุยกัน
98,ฝึกพูดหน้ากระจกทุกวัน
99,ต้องพูดคำไหนให้เธอมาขอกัน
100,หน้าร้อนที่แล้วเป็นแค่
101,เอ่อคนคุย
102,หน้าร้อนปีนี้ก็ยังคนคุย
103,หนาว
104,ยิ่งกว่านอนรอเขาคืนความสุขให้เรา
105,เลื่อนขั้นได้แมะ
106,เธอจะยังไง
107,พูดเลยได้ไหมจะได้ไปต่อ
108,ระวังเดี๋ยวก็โดนท่าไม้ตายหรอก (ปิ้ว ปิ้ว)
109,ใจเย็นเกินไปไหมตอบหน่อยรอหาอะไร
110,ตกลงเราคบกันแบบไหน
111,ทำให้ชัดเจนหน่อยได้ไหม
112,เธอชอบทำให้รอ รอ รอ
113,หรือต้องให้หายไปใช่ไหม
114,โชคดีนะฉันคงต้องไปก่อน
115,แป๊บนึงแม่โทรตามอะ
116,หยอกหยอก
117,ขับรถเดี๋ยวโทรกลับนะ
118,หยอกหยอก
119,เหนื่อยมากไปนอนก่อนละ (อะล้อเล่น)
120,ชอบปะละ อิอิ (ฮื้อ)
121,แป๊บนึงพ่อโทรตามอะ
122,หยอกหยอก
123,อาบน้ำเดี๋ยวโทรกลับนะ
124,หยอกหยอก
125,คงต้องไปนอนก่อนละ
126,สนใจกันบ้างยัง
127,โอม
128,ขอให้เธอนอนไม่หลับคอยให้ฉันทักไป
129,โอม
130,ขอให้เธอลองมโนว่าเราอยู่กับใคร
131,โอม
132,จัดไปแบบชุดใหญ่ไฟกระพริบ
133,แบบว่าเธอทักมาแล้วเงียบกริบ
134,ถ้ายังอยากคุยกันเอามายี่สิบ
135,หายแบบงง งง
136,หายเข้าไปในลิ้นชักโดราเอม่อน
137,แล้วเธออะยอม
138,กันได้ยัง
139,ใจเย็นเกินไปไหมตอบหน่อยรอหาอะไร
140,ตกลงเราคบกันแบบไหน
141,ทำให้ชัดเจนหน่อยได้ไหม
142,เธอชอบทำให้รอ รอ รอ
143,หรือต้องให้หายไปใช่ไหม
144,โชคดีนะฉันคงต้องไปก่อน
145,แป๊บนึงแม่โทรตามอ่ะ
146,หยอกหยอก
147,ขับรถเดี๋ยวโทรกลับนะ
148,หยอกหยอก
149,เหนื่อยมากไปนอนก่อนละ (อะล้อเล่น)
150,ชอบปะละ อิอิ (ฮื้อ)
151,แป๊บนึงพ่อโทรตามอะ
152,หยอกหยอก
153,อาบน้ำเดี๋ยวโทรกลับนะ
154,หยอกหยอก
155,คงต้องไปนอนก่อนละ
156,สนใจกันบ้างยัง
157,อื้ออือ เฮ้อ อื้อ ฮื้อ
158,
159,ไม่ค่อยเเน่ใจ
160,กับท่าทางการกระทำสีหน้าเธอที่เเสดงออก
161,บางทีก็คิดว่าใช่ เเต่บางทีก็ยังไม่ชัวร์
162,ไม่ค่อยมั่นใจ
163,เหมือนจะรู้เเต่ไม่รู้เหมือนจะชัดเต่ก็มัว
164,ไม่รู้คำตอบมันอยู่ที่ไหน
165,เคยได้ยิน
166,ที่ใครเขาพูดมา
167,อยากรู้ความจริงต้องจ้องมองที่ตา
168,เขาว่าสายตามันหลอกกันไม่ได้
169,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
170,ฉันว่าสายตาเธอหลอกฉันไม่ได้
171,เธออยากจะหลอกใครก็ตามใจ
172,เเต่อย่ามาหลอกฉันเลย
173,ถามคำตอบคำ
174,ทุกทุกครั้งที่ฉันนั้นอยู่กับเธอฉันพูดไม่ออก
175,ยิ่งเธอเข้ามาอยู่ใกล้ใกล้หัวใจฉันเต้นตลอด
176,ก็เหมือนว่าเธอนั้นคิดอะไร
177,เเต่เธอไม่เคยบอกเลยอ่ะ
178,เคยได้ยิน
179,ที่ใครเขาพูดมา
180,อยากรู้ความจริงต้องจ้องมองที่ตา
181,เขาว่าสายตามันหลอกกันไม่ได้
182,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
183,ฉันว่าสายตาเธอหลอกฉันไม่ได้
184,เธออยากจะหลอกใครก็ตามใจ
185,เเต่อย่ามาหลอกฉันเลย
186,เขาว่าสายตามันหลอกกันไม่ได้
187,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
188,ฉันว่าสายตาเธอหลอกฉันไม่ได้ (หลอกฉันไม่ได้)
189,เธออยากจะหลอกใครก็ตามใจ
190,เเต่อย่ามาหลอกฉันเลย
191,อย่ามาหลอกฉันเลยเธอ
192,เขาพูดกันว่าสายตามันเป็นสิ่งเดียวที่พูดเเทนหัวใจ
193,ฮู้ฮู
194,อย่ามาหลอกฉันเลยเธอ
195,เธออยากจะหลอกใครก็ตามใจ
196,เเต่อย่ามาหลอกฉันเลย
197,
198,เป็นอะไรทำไมหัวใจเต้นแรงขนาดนี้
199,เป็นอะไรทำไมฉันต้องแอบเขินเมื่ออยู่กับเธอ
200,ทั้งที่เราได้พบและได้พูดคุยอยู่เสมอ
201,เป็นอะไรอะไรที่กลัวว่าเธอนั้นรู้ทัน
202,ในใจฉันเริ่มทนไม่ไหว
203,กลัวเธอจะคิดไม่เหมือนกัน
204,มันคงไม่คุ้มถ้าบอกไปอย่างนั้น
205,เก็บอาการเอาไว้ ก็คงจะใกล้เธอดี
206,เก็บเอาไว้อย่างนี้ เธอคงไม่ไปไหน
207,เก็บเอาคำว่ารักของฉัน ให้เติบโตแค่ในใจ
208,ไม่เป็นไร ไม่เป็นไร
209,เก็บมันเอาไว้ก็ใกล้เธอดี
210,ขอแค่ได้เจอในเวลาที่เธอเหงาเวลาไม่มีเขา
211,เวลาที่เราได้คุยกันยาวๆ
212,ฟังเพลงเดิมเบาๆ และคุยเรื่องเก่าๆ
213,อันที่จริงก็ยังแอบหวังให้เธอคิดเหมือนกัน
214,เลือกจะจากหรืออยากเป็นมากกว่านี้อีก
215,เก็บเธอไว้ดีกว่าเจ็บดีกว่าเก็บน้ำตา
216,ฉันยังคงรอ รอวันที่ฉันพร้อม
217,แต่ว่ามันคงจะไม่มีวัน
218,กลัวเธอจะคิดไม่เหมือนกัน
219,มันคงไม่คุ้มถ้าบอกไปอย่างนั้น
220,เก็บอาการเอาไว้ ก็คงจะใกล้เธอดี
221,เก็บเอาไว้อย่างนี้ เธอคงไม่ไปไหน
222,เก็บเอาคำว่ารักของฉัน ให้เติบโตแค่ในใจ
223,ไม่เป็นไร ไม่เป็นไร
224,เก็บมันเอาไว้ก็ใกล้เธอดี
225,ในใจฉันเริ่มทนไม่ไหว
226,กลัวเธอจะคิดไม่เหมือนกัน
227,มันคงไม่คุ้มถ้าบอกไป อย่างนั้น
228,เก็บอาการเอาไว้ ก็คงจะใกล้เธอดี
229,เก็บเอาไว้อย่างนี้ เธอคงไม่ไปไหน
230,เก็บเอาคำว่ารักของฉัน ให้เติบโตแค่ในใจ
231,ไม่เป็นไร ไม่เป็นไร
232,เก็บมันเอาไว้ก็ใกล้เธอดี
233,เก็บอาการเอาไว้ ก็คงจะใกล้เธอดี
234,เก็บเอาไว้อย่างนี้ เธอคงไม่ไปไหน
235,เก็บเอาคำว่ารักของฉัน ให้เติบโตแค่ในใจ
236,ไม่เป็นไร ไม่เป็นไร
237,เก็บมันเอาไว้ก็ใกล้เธอดี
238,
239,โทษทีช่วงนี้ ไม่ค่อยมีเวลาให้คำว่าเหงา
240,คำว่าว่างเปล่า ก็ไม่รู้สะกดยังไง
241,บังเอิญช่วงนี้ มีบางคนให้ต้องคิดถึงไง
242,ก็โปรดเข้าใจ คนมีความรักก็เป็นอย่างงี้
243,แค่บ่นคิดถึงก็ต้องมาเลยเหรอ
244,แค่ชอบอะไรก็หาให้เลยเหรอ
245,เกิดมาฉันก็ยังไม่เคยเจอ
246,คนที่รักฉันได้มากเท่าเธอ
247,ขอบคุณที่เธอจับมือกับฉัน
248,ทำให้ทุกวันมันมากกว่าฝัน
249,ฉันเป็นของเธอ และเธอก็เป็นของฉัน
250,ถ้ารู้อย่างนี้ น่าจะรักกันมาตั้งนาน
251,นี่แหละคืออะไรที่ฉันต้องการ ต้องการ
252,ได้มีเธอนั้นใกล้ๆ
253,เพิ่งรู้วันนี้ วันที่มีเธอในหัวใจ
254,การมีใครให้เราได้รักมันดีเท่าไร
255,รู้งี้เป็นแฟนกันตั้งนานแล้ว
256,คนที่อินด้วยกันทั้งเสียใจและดีใจ
257,คือเรื่องเล็กๆ ที่ไม่เคยธรรมดา
258,คือคนธรรมดาที่ห่วงกันทุกเวลา
259,เหนื่อยแค่ไหนก็หายแค่มีคนหนึ่งให้ซบไหล่
260,เพิ่งจะรู้ดีแค่ไหนในทุกเช้าและตอนฝันร้าย
261,มีสักคนหนึ่งให้ตื่นมาเจอ
262,หากโลกนี้ เป็นอย่างไร ก็จะทิ้งมันเอาไว้
263,แค่ได้เผลอหลับในอ้อมแขนเธอ
264,ถ้ารู้อย่างนี้ น่าจะรักกันมาตั้งนาน
265,นี่แหละคืออะไรที่ฉันต้องการ ต้องการ
266,ได้มีเธอนั้นใกล้ๆ
267,เพิ่งรู้วันนี้ วันที่มีเธอในหัวใจ
268,การมีใครให้เราได้รักมันดีเท่าไร
269,รู้งี้เป็นแฟนกันตั้งนานแล้ว
270,รู้งี้เป็นแฟนกันตั้งนานแล้ว
271,
272,จำเลยอย่าแย้ง
273,หากยังไม่มีอะไรจะกล่าว
274,ยอมมอบใจมาซะดีดี
275,ความผิดของเธอนั้นมีดังนี้
276,หนึ่งคือเธอน่ะเห็น
277,ฉันเป็นคนอื่นไกล
278,เชื่อเถอะว่าฉันพร้อม
279,ไม่ว่าเป็นเรื่องใด
280,โทษนะคะที่รัก
281,เธอยังฟังอยู่ไหม
282,ข้อต่อไปมันก็สำคัญ
283,เรื่องที่เธอชอบใคร
284,ศาลตัดสินเป็นครั้งสุดท้าย
285,เรื่องที่เธอต้องชดใช้
286,นับจากนี้ตลอดชีวิต
287,ต้องอยู่กับฉัน
288,ตลอดไป
289,คดีนี้ช่างอุกฉกรรจ์
290,สะเทือนขวัญประชาชี
291,เหตุจากคืนนั้นเธอมาชนแก้ว
292,แล้วเธอก็หายในราตรี
293,เธอโปรยเสน่ห์
294,แล้วทิ้งฉันไปไม่ปรานี
295,สรุปเธอไปกับใคร
296,อย่าให้การเลี่ยงบาลี
297,น้ำตาไหลเป็นวารี
298,แล้วตัวเธอก็ไลน์ทัก
299,พอฉันเริ่มอินเธอกลับบอก
300,ว่าอย่าไปคิดมากมายนัก
301,พอฉันจะคลายรัก
302,กลับส่งคำหวานมาทายทัก
303,มาบอกว่าเหงามาบอกว่าเพ้อ
304,บอกว่าอยากเจอจะตายชัก
305,แม่จำเลยรัก
306,หัวใจคนไม่ใช่ผนังนะ
307,ไอ้คำว่ารัก
308,ก็ไม่ใช่ทองต้องซ่อนตรงหลังพระ
309,ไปไปมามา
310,ให้ความหวังนี่มันอิหยังวะ
311,คดีร้ายแรงศาลต้องตัดสิน
312,จำเลยเป็นผู้ต้องขังละ
313,จำเลยอย่าแย้ง
314,หากยังไม่มีอะไรจะกล่าว
315,ยอมมอบใจมาซะดีดี
316,ความผิดของเธอนั้นมีดังนี้
317,หนึ่งคือเธอน่ะเห็น
318,ฉันเป็นคนอื่นไกล
319,เชื่อเถอะว่าฉันพร้อม
320,ไม่ว่าเป็นเรื่องใด
321,โทษนะคะที่รัก
322,เธอยังฟังอยู่ไหม
323,ข้อต่อไปมันก็สำคัญ
324,เรื่องที่เธอชอบใคร
325,ศาลตัดสินเป็นครั้งสุดท้าย
326,เรื่องที่เธอต้องชดใช้
327,นับจากนี้ตลอดชีวิต
328,ต้องอยู่กับฉัน
329,ตลอดไป
330,ยอมมอบใจเพราะความคิดถึง
331,ล้อมเธอไว้หมดแล้ว
332,ทะเบียนสมรสกับนายอำเภอ
333,ก็รอเธอจดแล้ว
334,แหวนเพชรสินสอด
335,รอให้เธอกอด
336,รวมถึงเงินสดแล้ว
337,รอเธอหลายขดแล้ว
338,ตามกฎแล้ว
339,ว่าทำนองครองธรรม
340,จำเลยรักจะอยู่เรือนหอ
341,แทนการอยู่เรือนจำ
342,โซ่ตรวนจะกลายเป็นสร้อยคอทองคำ
343,และจะมีศาลผู้พิพากษา
344,อยู่ร่วมเรือนหอจองจำ
345,ไม่ต้องมีคำอนุญาโตตุลาการ
346,ไม่ต้องมายื่นอุทธรณ์
347,แล้วปล่อยให้ฟ้าเป็นพยาน
348,ว่าพันธนาการสองเรา
349,แม้นไกลจะหาใกล้
350,แม้นจำเลยรักต้องการสิ่งใด
351,ให้บอกมาเลยจะหาให้
352,จนกว่าจะหาไม่
353,จำเลยอย่าแย้ง
354,หากยังไม่มีอะไรจะกล่าว
355,ยอมมอบใจมาซะดีดี
356,ความผิดของเธอนั้นมีดังนี้
357,หนึ่งคือเธอน่ะเห็น
358,ฉันเป็นคนอื่นไกล
359,เชื่อเถอะว่าฉันพร้อม
360,ไม่ว่าเป็นเรื่องใด
361,โทษนะคะที่รัก
362,เธอยังฟังอยู่ไหม
363,ข้อต่อไปมันก็สำคัญ
364,เรื่องที่เธอชอบใคร
365,ศาลตัดสินเป็นครั้งสุดท้าย
366,เรื่องที่เธอต้องชดใช้
367,นับจากนี้ตลอดชีวิต
368,ต้องอยู่กับฉัน
369,ตลอดไป
370,แม้มันอาจจะดูใจร้าย
371,แต่ให้คำสาบานเลย
372,ต่อให้ตัวต้องตาย
373,ว่าเจตนา
374,ไม่เคยต้องการจะทำร้ายเลย
375,ธรณีนี่นี้เป็นพยาน
376,จะไม่เจ้าชู้ประตูดิน
377,ให้เหมือนกับคำพังเพยทัก
378,เพราะว่าใจมันหวงเกินไป
379,เกินจะให้ใครชมเชยนัก
380,จะรักให้มากที่สุด
381,ให้เหมือนกับใจไม่เคยรัก
382,สุดท้ายศาลรู้ตัวดี
383,ว่าศาลนี่แหละจำเลยรัก
384,หนึ่งคือเธอน่ะเห็น
385,ฉันเป็นคนอื่นไกล
386,เชื่อเถอะว่าฉันพร้อม
387,ไม่ว่าเป็นเรื่องใด
388,โทษนะคะที่รัก
389,เธอยังฟังอยู่ไหม
390,ข้อต่อไปมันก็สำคัญ
391,เรื่องที่เธอชอบใคร
392,ศาลตัดสินเป็นครั้งสุดท้าย
393,เรื่องที่เธอต้องชดใช้
394,นับจากนี้ตลอดชีวิต
395,ต้องอยู่กับฉัน
396,ตลอดไป
397,จำเลยอย่าแย้ง
398,หากยังไม่มีอะไรจะกล่าว
399,ยอมมอบใจมาซะดีดี
400,ต้องเป็นจำเลยของฉันคนนี้ตลอดไป
401,
402,ฉันรู้ดีว่าทุกที ที่เธอมองมาที่ฉัน
403,เธอพร้อมจะทำทุกทาง ก็เพื่อให้เราอยู่ด้วยกัน
404,สายตาและมือของเธอ ช่างดูอ่อนโยนต่อฉัน
405,(แต่ฉันไม่อยากให้เธอ ต้องเสียใจ)
406,เพราะว่า
407,ฉันไม่เคยลืม ฉันไม่เคยลืมเขาไป สักวัน
408,ยังคิดถึงเขา ยังคิดถึงเขา
409,ทั้งที่เธออยู่กับฉัน
410,ฉันใจร้ายแบบนี้
411,ก็ อย่าทนเลยคนดี
412,อยาก ให้เธอไปเจอคนที่ดี
413,ถ้าเธอรักฉันจริง
414,ได้โปรดทิ้งฉันไป
415,ได้โปรดเดินหนี ฉันไปให้ไกล
416,อย่ากอดฉันไว้เลย
417,อย่าอยู่กับฉันเลย
418,คนที่ลืมแฟนเก่าไม่ได้แบบฉัน
419,ไม่ควร ได้รับความรักจากใคร
420,ทุกๆ ที ที่ฉันพยายามมองหน้าเธอ
421,แต่สุดท้ายมันก็เบลอ กลายเป็นเขา
422,เสียงของเธอ บอกรักฉันในทุกคืน
423,ตื่นขึ้นมา ฉันก็ลืม ฉันคิดถึงแต่เขา
424,ภาวนาเพื่อให้ลืม แต่สุดท้ายก็ไม่ลืม
425,ยังคิดถึงแต่รักวันเก่าๆ
426,ฉันผิดเอง เป็นฉัน
427,ถ้าเธอรักฉันจริง
428,ได้โปรดทิ้งฉันไป
429,ได้โปรดเดินหนี ฉันไปให้ไกล
430,อย่ากอดฉันไว้เลย
431,อย่าอยู่กับฉันเลย
432,คนที่ลืมแฟนเก่าไม่ได้แบบฉัน
433,ไม่ควร ได้รับความรักจากใคร
434,เพราะว่าทุกที ที่ฉันมองหน้าเธอ
435,มันก็เบลอ (กลายเป็นเขา)
436,ฉันยังคงมีแต่เขา
437,ในใจฉันยังคงมีแต่เขา
438,ก็เพราะว่าทุกที ที่ฉันกอดเธอไว้
439,ฉันแค่เหงา
440,ไม่อยากให้เธอต้องปวดร้าว
441,รีบไปจากฉันเถอะเธอ
442,ถ้าเธอรักฉันจริง
443,ได้โปรดทิ้งฉันไป
444,ได้โปรดเดินหนี ฉันไปให้ไกล
445,อย่ากอดฉันไว้เลย
446,อย่าอยู่กับฉันเลย
447,คนที่ลืมแฟนเก่าไม่ได้แบบฉัน
448,ไม่ควร ได้รับความรักจากใคร
449,ถ้าเธอรักฉันจริง
450,ได้โปรดทิ้งฉันไป
451,ได้โปรดเดินหนี ฉันไปให้ไกล
452,อย่ากอดฉันไว้เลย
453,อย่าอยู่กับฉันเลย
454,คนที่ลืมแฟนเก่าไม่ได้แบบฉัน
455,ไม่ควร ได้รับความรักจากใคร
456,เพราะว่าทุกที ที่ฉันมองหน้าเธอ
457,มันก็เบลอ (กลายเป็นเขา)
458,ฉันยังคงมีแต่เขา
459,ในใจฉันยังคงมีแต่เขา
460,ก็เพราะว่าทุกที ที่ฉันกอดเธอไว้
461,ฉันแค่เหงา
462,ไม่อยากให้เธอปวดร้าว
463,รีบไปจากฉันเถอะเธอ
464,
465,ถ้าฉันมีเธอเป็นเพียงรักเดียว
466,และเธอมีฉันคนเดียวทั้งใจ
467,มันก็คงจะเป็นความรักที่ใฝ่ฝัน
468,ยอมให้ใครอีกคนเข้ามา
469,คนที่มองว่าฉันสำคัญ
470,คนที่รักฉันอย่างไม่เคยรักใคร
471,แปลกที่คนหนึ่งคนรักฉันจนหมดใจ
472,แต่ใจฉันไม่เคยมีเขา
473,คนอีกคนที่เอาแต่ทำให้ปวดร้าว
474,แต่ใจเจ้ากรรมไม่เคยลืม
475,ใครจะอยากเป็นคนไม่ดี
476,ผิดที่ใจไม่จำว่ามันไม่ควรรักใคร
477,เจ็บที่ใคร ๆ เขาก็มองว่าเราหลายใจ
478,เกลียดตัวเองจริง ๆ ที่ฝืนหัวใจไม่ได้
479,ฉันยอมสองใจเพราะรักเธอ
480,แม้ว่าฉันจะต้องเลือกใคร
481,มีแต่ทางที่ต้องเสียใจ
482,ไม่เป็นไรหากตอนสุดท้ายเหลือเพียงฉัน
483,แปลกที่คนหนึ่งคนรักฉันจนหมดใจ
484,แต่ใจฉันไม่เคยมีเขา
485,คนอีกคนที่เอาแต่ทำให้ปวดร้าว
486,แต่ใจเจ้ากรรมไม่เคยลืม
487,ใครจะอยากเป็นคนไม่ดี
488,ผิดที่ใจไม่จำว่ามันไม่ควรรักใคร
489,เจ็บที่ใคร ๆ เขาก็มองว่าเราหลายใจ
490,เกลียดตัวเองจริง ๆ ที่ฝืนหัวใจไม่ได้
491,ฉันยอมสองใจเพราะรักเธอ
492,ใครจะอยากเป็นคนไม่ดี
493,ผิดที่ใจไม่จำว่ามันไม่ควรรักใคร
494,เจ็บที่ใคร ๆ เขาก็มองว่าเราหลายใจ
495,เกลียดตัวเองจริง ๆ ที่ฝืนหัวใจไม่ได้
496,ฉันยอมสองใจเพราะรักเธอ
497,
498,ไม่รู้เลยว่าเธอ
499,ป่านนี้เป็นอย่างไร
500,ในวันที่เราต้องไกล
501,อยากรู้เธอเจอใคร
502,คนนั้นแล้วใช่ไหม
503,แต่ฉันคงไม่มีสิทธิ์จะโทรไปถาม จะฝากข้อความ
504,เป็นห่วงว่าเธออยู่ไหน เป็นเช่นไร
505,ในค่ำคืนเงียบเหงา ที่มีแค่ดาว
506,เธอรู้หรือเปล่า ว่ามีใครคิดถึงเธอ
507,ฝากให้ดาวบนฟ้า โปรดช่วยฉันหน่อยนะ
508,ฝากถามว่าตอนนี้ เธอเป็นอย่างไร
509,คิดถึงกันบ้างไหม ส่วนฉันทำอะไรไม่ได้เลย
510,ทำได้แค่ฝากให้ดาว ไปบอกเธอ
511,ไม่รู้เลยว่าเธอ ป่านนี้เป็นอย่างไร
512,ส่วนฉันยังไม่ไปไหน
513,บางครั้งเมื่อหลับตา
514,ในใจก็เผลอคิดไป
515,ว่าเธอยังอยู่-
516,ฝากถามว่าตอนนี้ เธอเป็นอย่างไร
517,คิดถึงกันบ้างไหม (คิดถึงกันบ้างไหม) ส่วนฉันทำอะไรไม่ได้เลย
518,ทำได้แค่ฝากให้ดาว ไปบอกเธอ
519,ฝากให้ดาวบนฟ้า (ฝากให้ดาวบนฟ้า) โปรดช่วยฉันหน่อยนะ (โปรดช่วยฉันหน่อยนะ)
520,ฝากถามว่าตอนนี้ เธอเป็นอย่างไร
521,คิดถึงกันบ้างไหม (คิดถึงกันบ้างไหม) ส่วนฉันทำอะไรไม่ได้เลย
522,ทำได้แค่ฝากให้ดาว
523,อยู่ข้างเธอได้ไหม (อยู่ข้างเธอได้ไหม)
524,อย่าให้เธอต้องเหงา (อย่าให้เธอต้องเหงา)
525,เพราะฉันกลัวว่าเขาทำเธอเสียใจ
526,อยากพบเธออีกครั้ง (อยากพบเธออีกครั้ง) แต่ฉันทำอะไรไม่ได้เลย
527,ทำได้แค่ฝากให้ดาว ไปบอกเธอ
528,อยากพบเธออีกครั้ง
529,จะไม่ยอมให้เธอไปไหน
530,ฉันคิดถึง จนแทบทนไม่ไหว
531,แต่ทำได้แค่ฝากให้ดาว
532,ไปกอดเธอ
